<matricula>;<nome>;<código do curso>
2016101000;Discente 0;460
2016101001;Discente 1;460
2016101002;Discente 2;463
2016101003;Discente 3;463
2016101004;Discente 4;463
2016101005;Discente 5;463
2016101006;Discente 6;464
2016101007;Discente 7;464
2016101008;Discente 8;465
2016101009;Discente 9;465
2016101010;Discente 10;461
2016101010;Discente 11;451
2016101012;Discente 12;452
2016101013;Discente 13;453
2016101014;Discente 14;454
2016101015;Discente 15;455
2016101016;Discente 16;456
2016101017;Discente 17;457
2016101018;Discente 18;458
2016101019;Discente 19;459
2016101020;Discente 20;460
2016101021;Discente 21;461
2016101022;Discente 22;451
2016101023;Discente 23;452
2016101024;Discente 24;453
2016101025;Discente 25;454
2016101026;Discente 26;455
2016101027;Discente 27;456
2016101028;Discente 28;457
2016101029;Discente 29;462
