Docente;Código;Nome;Carga Horária Semestral
Antonio Feijo;COM06851;Matematica Discreta;75
Antonio Feijo;MAT01924;Variaveis Complexas;75
Antonio Feijo;MAT06195;Matematica;75
Antonio Feijo;MAT06567;Analise 1;90
Antonio Feijo;MAT06579;Algebra Linear;60
Antonio Feijo;MAT09570;Calculo 1;90
Antonio Feijo;MAT09574;Calculo 2;90
Giselda Arruda;ELE08494;Eletricidade Aplicada;75
Juliano Jurassa Neto;AID03928;Projetoo 1;60
Juliano Jurassa Neto;ART03934;Cor;60
Juliano Jurassa Neto;DAV04963;Escultura 3;45
Juliano Jurassa Neto;DAV04966;Gravura em Metal;60
Juliano Jurassa Neto;DTA04978;Artes da Performance;60
Margarida Oliveira de Souza;AID01512;Fotografia 1;75
Margarida Oliveira de Souza;AID03935;Grafica avancada;60
Margarida Oliveira de Souza;DAV04965;Litografia;60
Margarida Oliveira de Souza;DAV05083;Plastica;90
Margarida Oliveira de Souza;DAV05834;Gravura;60
Miguel Lisboa;ELE08496;Eletronica Basica;75
Miguel Lisboa;INF09269;Algoritmos Numericos;60
Miguel Lisboa;INF09274;Arquitetura de Computadores;75
Miguel Lisboa;INF09281;Compiladores;60
Pedro Henrique Felisberto;CSO00184;Antropologia 1;60
Pedro Henrique Felisberto;DID02503;Didatica B;60
Pedro Henrique Felisberto;FIL00428;Introducao a Filosofia;60
Pedro Henrique Felisberto;FIL03779;Filosofia e Etica;60
Pedro Henrique Felisberto;LET02630;Lingua Portuguesa;60
Pedro Henrique Felisberto;PSI00759;Psicologia 1;60
Pedro Henrique Felisberto;PSI00764;Psicologia da Educacao;60
Pedro Henrique Felisberto;PSO09856;Psicologia Aplicada ao Direito;75
Pedro Henrique Felisberto;PSO10279;Processos Basicos 1;60
Pedro Henrique Felisberto;PSO11840;Psicologia e Projetos Sociais;60
Pedro Henrique Felisberto;TEP12870;Educacao das Relacoes Etnico-Raciais;75
