Departamento;Docente;Cód. Curso;Curso;Horas Semestrais Aula
Departamento de Administração;Joana Costa;457;Administração;60
Departamento de Administração;Joana Costa;455;Engenharia da Computação;20
Departamento de Administração;Joana Costa;456;Engenharia Elétrica;120
Departamento de Administração;Joana Costa;465;Teologia;15
Departamento de Ciências Exatas;José da Silva;462;Direito;30
Departamento de Ciências Exatas;José da Silva;461;Geografia;90
Departamento de Ciências Exatas;José da Silva;453;Matemática;75
Departamento de Ciências Exatas;José da Silva;454;Química;30
Departamento de Ciências Exatas;José da Silva;465;Teologia;20
Departamento de Ciências Humanas;Marcelo Eduardo;459;Ciências Sociais;30
Departamento de Ciências Humanas;Marcelo Eduardo;462;Direito;90
Departamento de Ciências Humanas;Marcelo Eduardo;458;Economia;45
Departamento de Ciências Humanas;Marcelo Eduardo;463;Filosofia;15
Departamento de Ciências Humanas;Marcelo Eduardo;461;Geografia;50
Departamento de Ciências Humanas;Marcelo Eduardo;460;História;40
Departamento de Ciências Humanas;Marcelo Eduardo;464;Pedagogia;20
Departamento de Educação Física;Neymar Júnior;451;Educação Física;180
Departamento de Educação Física;Neymar Júnior;452;Física;15
Departamento de Educação Física;Neymar Júnior;453;Matemática;75
Departamento de Engenharia Elétrica;Arlindo Souza;455;Engenharia da Computação;30
Departamento de Engenharia Elétrica;Arlindo Souza;454;Química;105
Departamento de Engenharia Elétrica;Arlindo Souza;465;Teologia;80
